                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8286,                 2.0503,                  1.215,                0.61854,                0.88686,                0.88798,                0.61689,                 1.3909,                 1.2893,                 1.2491,                      0,                      0,                      0
                      2,                0.94778,                  2.425,                 1.2549,                0.61901,                0.87773,                0.88804,                0.61198,                 1.4116,                 1.3021,                 1.2535,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                 1.0455,                 2.3793,                 1.4108,                0.57833,                0.83333,                0.87408,                0.61076,                 1.4324,                 1.3172,                 1.2561,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                0.97688,                 2.7225,                 1.2583,                0.60407,                0.83333,                0.87441,                0.62495,                 1.4412,                 1.3318,                  1.258,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                 1.0385,                 2.1945,                 1.3321,                0.61202,                0.83333,                0.87422,                0.62958,                 1.4697,                 1.3563,                 1.2642,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                0.96962,                 2.1656,                 1.3046,                0.67986,                0.83333,                0.87451,                0.62656,                 1.4949,                 1.3841,                 1.2746,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                 1.0326,                 2.4399,                 1.4929,                0.65709,                   0.75,                0.89316,                0.62491,                 1.5043,                 1.4246,                  1.279,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                0.98501,                 2.3981,                  1.206,                0.70364,                   0.75,                0.89334,                0.62625,                 1.4963,                 1.4585,                 1.2776,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                0.81606,                 1.5036,                 1.1947,                0.69054,                   0.75,                0.89189,                0.62547,                 1.5122,                 1.4662,                 1.2876,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                0.87062,                 1.8459,                 1.2501,                0.67018,                   0.75,                0.85034,                0.60874,                 1.5246,                 1.4969,                 1.2987,             1.1674e-06,             1.1674e-06,             1.1674e-06
